player_name,player_id,season,poss,MP,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Karim Mane,maneka01,2021,182,88,-6.297237028229844,-5.521533053606261,-11.8187700818361,-3.963391377279268,-2.554156084383714,-6.517547461662982,-6.125746234682198,-5.176398741506072,-11.30214497618827,-.3806574445516637,-.3806574445516637,0,-7.370036442078437,-5.183723501986322,-12.55375994406476,-.8708742231337211
Nico Mannion,mannini01,2021,655,308,-2.413178152520632,-.9841976032209956,-3.397375755741627,-2.200651959282278,-2.429439559302724,-4.630091518585003,-2.470333593978519,-1.328821794665948,-3.799155388644468,-.1655326160642788,-.1655326160642788,0,-1.53325866765936,-1.36885768031072,-2.90211634797008,.4080945815100812
Terance Mann,mannte01,2021,2486,1192,-.1892506570072153,-.3915253418149736,-.5807759988221889,-2.386783174820212,1.462596827386346,-.9241863474338652,-.7130552240407468,-.0498738693166106,-.7629290933573575,1.198641012835897,1.198641012835897,0,-.8634050611179607,.3579998965655448,-.5054051645524159,-.8195071626476017
Boban Marjanovic,marjabo01,2021,473,229,-.649357171535887,-2.025014723325024,-2.674371894860911,-1.878182561271476,3.677809883981244,1.799627322709769,-.990708768141731,-.9472401419226885,-1.937948910064419,.0942816805851611,.0942816805851611,0,-.4720708302541927,-1.256747480689969,-1.728818310944161,-.63287038773867
Lauri Markkanen,markkla01,2021,2359,1120,.2622602824887112,-1.648059976323715,-1.385799693835004,-2.353079858358825,-.5820137498068912,-2.935093608165716,-.2564687547698782,-1.509984559022996,-1.766453313792874,.5635011882458354,.5635011882458354,0,.3570799957104613,-2.110129412289481,-1.75304941657902,.265585470439644
Naji Marshall,marshna01,2021,922,426,-.3733127005039377,-1.337891485680899,-1.711204186184837,-4.532997405887173,3.909364565243095,-.6236328406440776,-1.284800471615116,-.3027013383997578,-1.587501810014874,.2540523958241632,.2540523958241632,0,-1.171602688307517,-.4103455057346326,-1.581948194042149,.5548118765143342
Caleb Martin,martica02,2021,1428,685,-2.347011549737674,2.471886395425537,.124874845687863,-4.316932368915467,-.2574986880785932,-4.57443105699406,-2.891359367818677,2.068581943293902,-.8227774245247746,.6726300147361556,.6726300147361556,0,-2.144624334688678,1.326287524932061,-.8183368097566164,-.1362368033621862
Cody Martin,martico01,2021,1711,818,-2.25498813025032,1.154536165294401,-1.100451964955919,-.1050876234004174,1.305191355620603,1.200103732220186,-1.95865155798601,1.261589097989108,-.697062459996902,.8527283172914588,.8527283172914588,0,-2.09478046880006,.6034300281709282,-1.491350440629131,-.4772988657700988
Jeremiah Martin,martije02,2021,8,4,-36.90662983094339,-36.46526496513529,-73.37189479607868,-26.69630286202068,-21.42913884984844,-48.12544171186912,-36.90283156092752,-35.48822371990086,-72.39105528082838,-.144017336823801,-.144017336823801,0,-34.89798538957825,-32.95084308212301,-67.84882847170125,1.344845211721378
Kelan Martin,martike03,2021,293,136,.5897837946385531,-4.065982930475811,-3.476199135837258,4.545821519385809,7.071013141309355,11.61683466069517,1.466591798705533,-1.968919320124775,-.5023275214192422,.1563628640002866,.1563628640002866,0,-.1726148757714831,-2.798110015137145,-2.970724890908628,.2608898680210089
Kenyon Martin Jr.,martike04,2021,1507,713,-1.450223354185719,-2.07616538767252,-3.526388741858239,-1.740863904981771,-.9987126982398713,-2.739576603221642,-1.552603982301087,-1.944133750188451,-3.496737732489538,-.2699211586411676,-.2699211586411676,0,-2.807745971779761,-2.178399289136845,-4.986145260916606,-.6396077320596053
Frank Mason,masonfr01,2021,161,79,-6.607937588248241,-14.60410868610182,-21.21204627435006,-6.708928337966214,4.537351846009366,-2.171576491956849,-6.939543020300047,-11.4639031974395,-18.40344621773955,-.6235930552406723,-.6235930552406723,0,-8.033340146854787,-10.30801750923636,-18.34135765609115,-1.172762110448986
Garrison Mathews,mathega01,2021,2096,946,.3218864385177458,2.155952110550428,2.477838549068174,-1.726895401779349,-2.249401322073607,-3.976296723852956,-.0872671137724465,1.387212737402126,1.29994562362968,1.961908515387026,1.961908515387026,0,-.7394692972129723,1.570882840266751,.8314135430537785,.3720240310869853
Dakota Mathias,mathida01,2021,264,123,-.8675172012296085,-2.282205360179928,-3.149722561409536,-6.288323554242095,.8215240157759831,-5.466799538466112,-2.0365501297493,-1.835456859028075,-3.872006988777375,-.0699294292257217,-.0699294292257217,0,-2.526539112647952,-2.313136308441465,-4.839675421089417,-.6903933772731151
Wesley Matthews,matthwe02,2021,2009,965,-2.047165927612159,1.900017189423135,-.147148738189024,-.8314954571588514,.087415029693205,-.7440804274656465,-1.893102209682556,1.582413573603521,-.3106886360790351,1.200217437168254,1.200217437168254,0,-1.734460905793342,1.987656940078887,.2531960342855444,-.0639022675931341
Tyrese Maxey,maxeyty01,2021,1653,778,.7018500077447425,-3.054092206947138,-2.352242199202395,-4.132587321596494,-2.504156340824634,-6.636743662421129,-.2818288546386451,-3.172017806262947,-3.453846660901593,-.2764984787523306,-.2764984787523306,0,-.8431491484780481,-3.065476246962715,-3.908625395440763,-1.041554671311808
Skylar Mays,mayssk01,2021,469,229,1.766064229815655,-1.027875388886091,.7381888409295638,-1.908015804257258,.6065801619059786,-1.301435642351279,1.088321257296633,-.7300672169792556,.3582540403173774,.3613690962124857,.3613690962124857,0,1.436527959036961,-2.389069291194712,-.9525413321577503,-.4964068167384225
Patrick McCaw,mccawpa01,2021,65,33,1.315757498436943,-1.886385765107139,-.5706282666701958,-4.730772480837991,-16.86094269253566,-21.59171517337365,.0966268115586174,-5.110072348502738,-5.013445536944121,-.0376942572383455,-.0376942572383455,0,-2.111583570921501,-2.152298419907124,-4.263881990828625,-1.097630560714592
CJ McCollum,mccolcj01,2021,2613,1250,4.43814858297111,1.126690148368128,5.564838731339238,1.572754314115522,.9472699597771762,2.520024273892698,4.040415500751148,1.220015109149019,5.260430609900166,5.099584486432879,5.099584486432879,0,4.75244359147468,.6012068710996185,5.353650462574299,-.1791328973307764
T.J. McConnell,mccontj01,2021,3197,1485,.9366503104515675,.93761413441112,1.874264444862688,1.238800350465364,-1.320827553867435,-.0820272034020708,1.066154515001485,.5299667063824911,1.596121221383976,3.307059070579445,3.307059070579445,0,.9198372318693805,1.320449519601005,2.240286751470386,.4362410289246269
Jalen McDaniels,mcdanja01,2021,1282,622,-2.463662268159132,-.8279862692616597,-3.291648537420792,-2.144845284712689,-2.7318040193228,-4.876649304035489,-2.537339272801379,-1.267853130837028,-3.805192403638407,-.3347555402236813,-.3347555402236813,0,-1.757957284596629,-1.297409521506865,-3.055366806103494,-.0313020978565138
Jaden McDaniels,mcdanja02,2021,2832,1320,-2.468769450835155,-1.230553355234453,-3.699322806069607,.8478360923567194,.4165167257883546,1.264352818145074,-1.908223099246144,-.9003366243982706,-2.808559723644415,-.0393854951742293,-.0393854951742293,0,-2.050778628586814,-.3109677386779277,-2.361746367264742,-.1340174596761165
Doug McDermott,mcderdo01,2021,2834,1321,.5457678552628888,-2.563128131608076,-2.017360276345188,.725045075394398,-2.215004918095175,-1.489959842700777,.6182472796380053,-2.639386360662439,-2.021139081024433,.4935442835309852,.4935442835309852,0,.1990444909015485,-2.87864818260329,-2.679603691701741,.4747527349303454
Sean McDermott,mcderse01,2021,337,156,-3.238456344797663,-.5631227936284662,-3.801579138426129,-14.16608307812401,-1.588116412032564,-15.75419949015658,-5.693783796733864,-.8073489447279385,-6.501132741461803,-.2986250344465247,-.2986250344465247,0,-5.479036571389776,-2.023516913350958,-7.502553484740734,.0229451258394665
JaVale McGee,mcgeeja01,2021,1186,569,-2.18319363091125,.4930525192143639,-1.690141111696886,-3.53813496019565,3.772785495300321,.2346505351046714,-2.508323295586227,1.217395300049561,-1.290927995536666,.4289912599099897,.4289912599099897,0,-1.934112945832642,.0735053512454197,-1.860607594587222,.8442088051987854
Rodney McGruder,mcgruro01,2021,393,194,2.289375906309293,-1.290773082863797,.9986028234454957,4.991041759130698,-2.791441906126745,2.199599853003953,3.040808472153127,-1.667145055505471,1.373663416647656,.4026378571717675,.4026378571717675,0,2.178325175172968,-1.223932229256893,.9543929459160745,-1.364258533074213
Alfonzo McKinnie,mckinal01,2021,487,222,2.635038888680086,-.556268397550775,2.078770491129311,-4.767977072555028,7.109284775543361,2.341307702988333,1.258486853510969,.943157286218407,2.201644139729376,.5624801280235625,.5624801280235625,0,.1053218996059486,-.2642467783667882,-.1589248787608397,.2942360570208798
Jordan McLaughlin,mclaujo01,2021,1753,817,-1.135085083201023,-.1729179445071183,-1.308003027708141,-3.808535853941474,2.239990909921311,-1.568544944020163,-1.726917107139079,.3741664216021853,-1.352750685536894,.5774889369406472,.5774889369406472,0,-1.828087918588527,.5850095607872534,-1.243078357801274,-.8544917085133669
Ben McLemore,mclembe01,2021,1606,733,-.3746264535124401,-4.473607748266169,-4.848234201778609,-2.366267254736175,1.710739556166312,-.6555276985698633,-.7439681013642832,-3.450980394787798,-4.19494849615208,-.5349698211033629,-.5349698211033629,0,-.6833084095755179,-3.272010856940806,-3.955319266516323,1.239262355712228
Nicolo Melli,mellini01,2021,897,447,-1.408866471813522,.9680512196152651,-.4408152521982573,-2.141409388070681,6.816212934979072,4.67480354690839,-1.671665546039658,2.262762699604776,.5910971535651182,.7527042676736917,.7527042676736917,0,-1.022316777948469,1.214495525634424,.1921787476859549,-1.249847031245464
